 TEMPERATURE=  0.10E+06 BINMIN,                                     BINSYZ=    0.0    5.0 ABUNJ 10.93  8.52  7.96  8.82  7.92  7.42  7.52  7.20  6.90  6.30  7.60  6.30
   0.000E+00   0.000E+00   0.000E+00   0.916E-33   0.683E-23   0.512E-18   0.406E-13   0.310E-13   0.264E-08   0.214E-08
   0.177E-08   0.149E-08   0.134E-03   0.116E-03   0.101E-03   0.885E-04   0.784E-04   0.700E-04   0.627E-04   0.584E-04
   0.513E-04   0.468E-04   0.428E-04   0.200E-03   0.362E-04   0.000E+00   0.633E-07   0.630E-05   0.450E-06   0.292E-04
   0.183E-05   0.000E+00   0.163E-03   0.928E-04   0.308E-04   0.110E-04   0.321E-02   0.556E-03   0.120E-03   0.123E-01
   0.000E+00   0.291E-02   0.163E-06   0.532E-04   0.112E-02   0.273E+00   0.235E-01   0.175E+00   0.178E+00   0.398E-02
   0.528E-02   0.597E+00   0.929E-03   0.916E-04   0.925E-04   0.527E-01   0.188E-01   0.834E-02   0.123E-01   0.549E-02
   0.943E+01   0.176E+00   0.788E-01   0.000E+00   0.749E-02   0.400E-07   0.557E-03   0.880E-02   0.000E+00   0.000E+00
   0.787E-04   0.754E-02   0.147E-01   0.000E+00   0.944E-01   0.000E+00   0.919E-01   0.191E+00   0.212E-02   0.000E+00
   0.000E+00   0.724E-03   0.000E+00   0.103E+00   0.000E+00   0.000E+00   0.307E-01   0.306E-01   0.000E+00   0.325E-01
   0.252E+00   0.543E-01   0.554E-03   0.000E+00   0.000E+00   0.919E-03   0.637E-03   0.300E+00   0.000E+00   0.000E+00
