 LINE  HEII      HE22      HE23      0
 W  35     0.000      1.5849E-03  2.5119E-03  3.9811E-03  6.3096E-03  1.0000E-02
          1.5849E-02  2.5119E-02  3.9811E-02  6.3096E-02  7.9433E-02   .1000    
           .1259       .1585       .1995       .2512       .3162       .3981    
           .5012       .6310       .7943       1.000       1.585       2.512    
           3.981       6.310       10.00       15.85       25.12       39.81    
           63.10       100.0       158.5       251.2       398.1                
 T   6     4.000       4.301       4.602       4.903       5.204       5.505    
                                                                                
 E  11     10.50       11.50       12.00       12.50       13.00       13.50    
           14.00       14.50       15.00       16.00       17.00                
 SCALE   1.000     LOG 0                                                        
                                                                                
 -10.998 -10.998 -10.998 -10.999 -11.002 -11.011 -11.035 -11.098 -11.259 -11.695
 -12.099 -12.741 -13.761 -15.344 -16.627 -16.911 -17.165 -17.412 -17.655 -17.896
 -18.135 -18.373 -18.849 -19.328 -19.813 -20.309 -20.814 -21.332 -21.853 -22.378
 -22.908 -23.438 -23.968 -24.498 -25.018                                        
                                                                                
 -11.169 -11.169 -11.170 -11.170 -11.173 -11.178 -11.191 -11.224 -11.308 -11.518
 -11.726 -12.052 -12.567 -13.385 -14.676 -16.501 -17.153 -17.413 -17.663 -17.908
 -18.149 -18.388 -18.863 -19.337 -19.813 -20.295 -20.787 -21.289 -21.798 -22.313
 -22.838 -23.363 -23.888 -24.418 -24.948                                        
                                                                                
 -11.336 -11.336 -11.337 -11.337 -11.338 -11.340 -11.347 -11.363 -11.404 -11.509
 -11.611 -11.778 -12.035 -12.443 -13.090 -14.116 -15.726 -17.350 -17.662 -17.916
 -18.164 -18.407 -18.886 -19.359 -19.831 -20.305 -20.784 -21.274 -21.773 -22.278
 -22.788 -23.303 -23.823 -24.343 -24.868                                        
                                                                                
 -11.510 -11.510 -11.510 -11.510 -11.510 -11.511 -11.514 -11.522 -11.542 -11.594
 -11.644 -11.725 -11.852 -12.063 -12.386 -12.897 -13.708 -14.994 -16.941 -17.912
 -18.172 -18.422 -18.910 -19.387 -19.859 -20.330 -20.802 -21.281 -21.768 -22.258
 -22.758 -23.268 -23.778 -24.293 -24.813                                        
                                                                                
 -11.672 -11.672 -11.672 -11.672 -11.672 -11.673 -11.674 -11.677 -11.687 -11.712
 -11.736 -11.776 -11.839 -11.939 -12.112 -12.365 -12.769 -13.410 -14.428 -16.039
 -18.028 -18.425 -18.929 -19.414 -19.891 -20.362 -20.832 -21.305 -21.777 -22.258
 -22.753 -23.253 -23.753 -24.263 -24.778                                        
                                                                                
 -10.862 -10.863 -10.864 -10.867 -10.875 -10.896 -10.949 -11.082 -11.421 -12.264
 -13.080 -14.339 -15.581 -15.921 -16.182 -16.433 -16.680 -16.923 -17.164 -17.404
 -17.644 -17.883 -18.363 -18.850 -19.347 -19.854 -20.373 -20.899 -21.428 -21.958
 -22.488 -23.010 -23.530 -24.041 -24.543                                        
                                                                                
 -11.013 -11.013 -11.013 -11.015 -11.019 -11.029 -11.055 -11.121 -11.287 -11.714
 -12.123 -12.770 -13.793 -15.295 -16.148 -16.418 -16.673 -16.921 -17.165 -17.406
 -17.645 -17.883 -18.359 -18.837 -19.320 -19.813 -20.316 -20.830 -21.352 -21.879
 -22.408 -22.938 -23.468 -23.998 -24.520                                        
                                                                                
 -11.157 -11.157 -11.157 -11.157 -11.159 -11.164 -11.176 -11.208 -11.289 -11.496
 -11.712 -12.035 -12.546 -13.357 -14.631 -16.211 -16.660 -16.919 -17.170 -17.415
 -17.657 -17.897 -18.372 -18.845 -19.320 -19.800 -20.289 -20.789 -21.297 -21.811
 -22.338 -22.860 -23.388 -23.918 -24.448                                        
                                                                                
 -11.301 -11.301 -11.301 -11.301 -11.301 -11.303 -11.308 -11.323 -11.362 -11.462
 -11.561 -11.742 -11.995 -12.397 -13.036 -14.051 -15.624 -16.884 -17.168 -17.423
 -17.671 -17.914 -18.393 -18.868 -19.339 -19.812 -20.290 -20.775 -21.270 -21.772
 -22.281 -22.800 -23.320 -23.840 -24.368                                        
                                                                                
 -11.484 -11.484 -11.484 -11.484 -11.484 -11.485 -11.489 -11.497 -11.518 -11.570
 -11.621 -11.702 -11.831 -12.038 -12.362 -12.875 -13.688 -14.973 -16.777 -17.416
 -17.676 -17.928 -18.416 -18.894 -19.367 -19.838 -20.309 -20.784 -21.267 -21.755
 -22.261 -22.763 -23.280 -23.791 -24.310                                        
                                                                                
 -11.658 -11.658 -11.658 -11.658 -11.659 -11.659 -11.661 -11.665 -11.675 -11.701
 -11.726 -11.766 -11.830 -11.931 -12.098 -12.354 -12.760 -13.403 -14.424 -16.024
 -17.616 -17.928 -18.433 -18.920 -19.397 -19.869 -20.339 -20.810 -21.284 -21.765
 -22.254 -22.753 -23.253 -23.761 -24.271                                        
                                                                                
 -10.857 -10.858 -10.859 -10.862 -10.870 -10.892 -10.945 -11.078 -11.415 -12.255
 -13.064 -14.250 -15.131 -15.429 -15.691 -15.944 -16.192 -16.436 -16.677 -16.918
 -17.157 -17.397 -17.876 -18.361 -18.854 -19.358 -19.873 -20.397 -20.928 -21.458
 -21.986 -22.506 -23.026 -23.543 -24.045                                        
                                                                                
 -11.011 -11.012 -11.012 -11.014 -11.018 -11.029 -11.055 -11.122 -11.289 -11.713
 -12.122 -12.769 -13.780 -15.100 -15.659 -15.926 -16.182 -16.430 -16.675 -16.917
 -17.156 -17.395 -17.870 -18.347 -18.828 -19.318 -19.819 -20.330 -20.851 -21.377
 -21.908 -22.438 -22.968 -23.496 -24.016                                        
                                                                                
 -11.164 -11.164 -11.165 -11.166 -11.168 -11.173 -11.186 -11.219 -11.302 -11.512
 -11.721 -12.045 -12.559 -13.371 -14.620 -15.830 -16.166 -16.426 -16.677 -16.923
